area,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,Carbon intensity (gCO2/kWh),158,176,168,213,197,189,183,169,159,137,156,164,121,109,94,110,98,107,102,99,83
Belgium,Carbon intensity (gCO2/kWh),270,257,263,266,271,275,253,242,238,213,213,194,208,190,205,227,172,177,207,184,192
Bulgaria,Carbon intensity (gCO2/kWh),476,525,483,536,536,505,497,602,568,526,529,583,525,481,476,486,462,497,425,424,352
Croatia,Carbon intensity (gCO2/kWh),292,305,363,389,288,305,314,396,344,271,216,306,290,206,178,212,210,195,135,172,164
Cyprus,Carbon intensity (gCO2/kWh),849,787,767,774,782,800,793,796,793,776,735,759,757,666,682,670,679,661,664,660,653
Czech Republic,Carbon intensity (gCO2/kWh),688,687,664,599,597,616,613,615,602,572,554,544,508,477,481,495,505,453,445,423,386
Denmark,Carbon intensity (gCO2/kWh),479,470,463,490,424,388,475,442,414,412,368,331,272,311,268,192,231,176,189,122,116
Estonia,Carbon intensity (gCO2/kWh),1116,1087,1054,1062,1047,1028,984,1015,1009,980,973,992,938,992,993,944,924,928,900,783,669
EU-27,Carbon intensity (gCO2/kWh),399,393,400,405,395,387,386,393,369,355,341,348,343,326,317,317,305,303,287,252,226
EU27+1,Carbon intensity (gCO2/kWh),411,408,413,419,411,402,403,408,386,369,357,361,361,342,329,324,305,300,285,251,226
Finland,Carbon intensity (gCO2/kWh),164,210,231,289,241,148,248,221,163,181,218,179,125,161,140,103,109,99,111,89,67
France,Carbon intensity (gCO2/kWh),92,73,78,84,83,104,101,96,87,79,77,65,69,69,51,54,60,69,54,54,55
Germany,Carbon intensity (gCO2/kWh),559,574,570,554,538,520,515,534,501,496,483,499,505,501,490,460,456,424,406,343,301
Greece,Carbon intensity (gCO2/kWh),975,984,956,914,920,915,854,880,870,854,875,883,869,808,846,739,622,658,662,603,522
Hungary,Carbon intensity (gCO2/kWh),460,453,446,504,453,377,381,384,362,319,325,330,322,288,271,271,261,264,251,226,218
Ireland,Carbon intensity (gCO2/kWh),674,694,650,618,595,601,552,527,494,474,485,456,487,460,450,437,429,399,353,313,293
Italy,Carbon intensity (gCO2/kWh),396,383,406,443,455,397,389,381,371,353,338,327,312,272,257,283,262,263,248,229,212
Latvia,Carbon intensity (gCO2/kWh),137,126,126,124,96,86,109,105,111,93,115,127,85,126,123,141,117,65,138,147,92
Lithuania,Carbon intensity (gCO2/kWh),112,98,74,66,73,108,104,91,85,86,317,264,274,204,186,206,154,92,65,68,146
Luxembourg,Carbon intensity (gCO2/kWh),96,167,275,255,275,272,272,269,245,282,236,235,240,192,200,141,78,72,69,69,69
Malta,Carbon intensity (gCO2/kWh),839,1004,957,969,935,884,885,887,862,863,884,879,883,731,715,654,653,435,356,356,356
Netherlands,Carbon intensity (gCO2/kWh),511,522,518,522,507,494,478,483,477,449,445,436,461,472,497,514,491,459,441,382,318
Poland,Carbon intensity (gCO2/kWh),950,940,936,946,939,924,938,919,896,880,868,866,843,841,828,803,794,784,789,752,724
Portugal,Carbon intensity (gCO2/kWh),484,461,539,439,484,535,450,421,416,393,280,333,397,318,299,364,296,353,310,251,201
Romania,Carbon intensity (gCO2/kWh),461,466,463,521,452,417,463,563,516,453,387,458,456,364,331,349,309,315,291,271,208
Slovakia,Carbon intensity (gCO2/kWh),233,219,199,221,227,196,184,187,189,166,140,152,151,132,117,125,116,119,137,104,90
Slovenia,Carbon intensity (gCO2/kWh),355,381,395,390,362,364,371,394,345,331,332,342,333,309,217,256,254,254,248,242,219
Spain,Carbon intensity (gCO2/kWh),467,416,468,412,423,439,398,411,347,317,256,319,333,270,280,318,266,305,276,228,190
Sweden,Carbon intensity (gCO2/kWh),18,20,27,36,22,18,22,19,19,19,26,19,15,15,12,11,12,13,13,12,13
United Kingdom,Carbon intensity (gCO2/kWh),484,504,494,502,513,503,527,515,509,463,471,454,502,467,425,380,294,264,250,228,209
