row_labels,bioenergy,coal,demand,fossil,gas,hard_coal,hydro,lignite,net_imports,nuclear,other_fossil,other_renewables,production,renewables,solar,wind,wind_and_solar
2000,29.198788,795.053,2638.107604,1358.350375,328.208561,455.272,354.934401,339.781,8.89052399999998,859.924,235.088813999999,5.292307,2629.21708,410.942705,0.09322,21.423989,21.5172089999999
2001,32.510353,792.372,2697.529739,1377.885791,351.390444,442.38,375.525216,349.992,-8.32253599999999,888.887,234.123347,5.096933,2705.852275,439.079484,0.164502,25.78248,25.946982
2002,37.894886,807.352,2721.475142,1428.224723,374.570906,460.08,314.698660999999,347.272,-2.189278,902.306,246.301817,5.255398,2723.66442,393.133697,0.278236,35.006516,35.284752
2003,43.122555,849.114,2798.49681,1499.681195,419.224878,493.391,305.627308999999,355.723,-6.89523100000001,907.213999999999,231.342316999999,5.924333,2805.392041,398.496845999999,0.402335,43.420314,43.822649
2004,52.830096,835.444,2857.094388,1503.877642,460.258957,484.214,324.076054,351.23,-16.4972719999999,928.473,208.174685,5.993645,2873.59166,441.241018,0.733912999999999,57.60731,58.341223
2005,61.003235,808.939221,2891.967865,1527.62937,514.391663,465.022645,308.312773,343.916576,3.420869,916.026,204.298486,5.878568,2888.546996,444.891626,1.476688,68.220362,69.6970499999999
2006,69.842055,816.229869,2938.456585,1557.708373,541.64984,478.336816,311.382272,337.893053,-2.36971,914.557,199.828664,6.079915,2940.826295,468.560922,2.46947,78.78721,81.25668
2007,78.413842,828.794459,2963.597427,1585.622049,572.76148,483.789459,309.350063,345.005,8.05848199999998,872.215,184.06611,6.23782,2955.538945,497.701896,3.799527,99.900644,103.700171
2008,88.04413,757.034054,2978.750193,1542.017338,612.789124,420.477054,327.055216,336.557,9.75329399999999,885.034,172.19416,6.178697,2968.996899,541.945561,7.417621,113.249896999999,120.667517999999
2009,97.124638,703.612826,2832.472703,1419.952054,564.727518,382.733826,330.490037,320.879,15.255928,824.88,151.61171,5.975467,2817.216775,572.384721,14.120981,124.673598,138.794579
2010,111.417474,701.231144,2959.234435,1445.938785,588.46404,385.303144,373.368775,315.928,4.85439,854.514,156.243601,6.050806,2954.380045,653.92726,23.1950629999999,139.895142,163.090205
2011,119.04042,725.265759,2914.965607,1430.658603,557.281836,390.005759,307.453741,335.26,0.931407999999998,837.797763,148.111008,6.405249,2914.034199,645.577832999999,47.289526,165.388897,212.678423
2012,132.880199,743.577179,2915.790796,1368.522495,483.126492,403.465179,331.728506,340.111999999999,6.82761899999999,812.001017,141.818824,6.253328,2908.963177,728.439665,70.1968859999999,187.380746,257.577632
2013,138.910818,728.913822,2887.277142,1275.953047,414.041377,402.887224,368.016339,326.026598,-1.827346,806.232671,132.997848,6.459842,2889.104488,806.91877,84.094245,209.437526,293.531771
2014,144.231543,692.742333,2824.841224,1179.707697,355.896875,374.526333,370.060946,318.216,-5.03843399999999,812.521009,131.068489,6.785886,2829.879658,837.650952,94.212822,222.359755,316.572577
2015,149.414032,704.991847,2870.180804,1233.677582,396.83529,388.676847,336.012583,316.315,-6.693106,786.688808,131.850445,7.06808699999999,2876.87391,856.50752,100.831736,263.181082,364.012818
2016,151.079009,659.126602,2898.962654,1258.538227,466.870337,357.111602,345.545926,302.015,0.671377999999996,767.924482,132.541288,7.25844099999999,2898.291276,871.828567,101.03643,266.908761,367.945191
2017,153.703225,638.888604,2925.015531,1294.659496,525.912408,334.603428,294.395964,304.285176,-4.61668999999999,759.358643,129.858484,7.273751,2929.632221,875.614082,107.927972,312.31317,420.241142
2018,155.499988,595.654605,2925.99735299999,1212.570135,490.590926999999,301.893992999999,344.382804,293.760612,8.88075999999999,761.938048,126.324603,7.159677,2917.11659299999,942.60841,114.998013,320.567928,435.565941
2019,156.735021703,455.227635148,2883.438423297,1139.109738939,565.963986813,210.923911339,324.157234012,244.303723809,1.809185583,765.371520285,117.918116978,7.23534916,2881.629237714,977.14797849,125.236846012,363.783527603,489.020373615
2020,155.408169016,364.731330554,2778.3853568747,1020.29752707299,544.588826784999,164.562694113,351.567109393,200.168636441,18.649733467,685.103659876999,110.977369734,7.196780432,2759.73562340769,1054.3344364577,143.719944425,396.4424331917,540.1623776167
