location,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union - 27 countries (from 2020),0.21100000000000002,0.214,0.21899999999999997,0.222,0.23,0.23800000000000002,0.24,0.24,0.239,0.259,0.273,0.278,0.282,0.284,0.3,0.309,0.321
European Union - 28 countries (2013-2020),0.205,0.209,0.215,0.217,0.225,0.23199999999999998,0.23399999999999999,0.23600000000000002,0.23600000000000002,0.253,0.267,0.272,0.28,0.282,0.298,0.306,0.317
Belgium,0.342,0.35600000000000004,0.359,0.365,0.359,0.389,0.39799999999999996,0.38799999999999996,0.39299999999999996,0.401,0.397,0.41100000000000003,0.414,0.41600000000000004,0.40700000000000003,0.395,0.424
Bulgaria,0.259,0.28,0.213,0.213,0.218,0.217,0.217,0.221,0.221,0.23,0.24600000000000002,0.204,0.196,0.192,0.259,0.254,0.271
Czechia,,0.13699999999999998,0.147,0.147,0.142,0.149,0.179,0.207,0.213,0.203,0.18899999999999997,0.192,0.196,0.203,0.214,0.21,0.20600000000000002
Denmark,0.382,0.376,0.402,0.39299999999999996,0.371,0.38,0.385,0.376,0.391,0.408,0.38,0.385,0.374,0.374,0.374,0.363,0.397
Germany ,0.309,0.308,0.3,0.319,0.317,0.307,0.314,0.315,0.324,0.325,0.35700000000000004,0.366,0.36200000000000004,0.371,0.317,0.314,0.317
Estonia,0.17,0.15,0.18,0.19,0.20800000000000002,0.20800000000000002,0.218,0.228,0.198,0.21,0.17800000000000002,0.198,0.257,0.257,0.27699999999999997,0.297,0.287
Ireland,0.13699999999999998,0.129,0.14300000000000002,0.129,0.155,0.15,0.163,0.155,0.19,0.18899999999999997,0.19899999999999998,0.19899999999999998,0.201,0.243,0.243,0.243,0.243
Greece,0.09,0.13,0.13,0.127,0.14300000000000002,0.16,0.17,0.17,0.17300000000000001,0.21,0.21,0.21,0.19699999999999998,0.183,0.183,0.183,0.217
Spain,0.28600000000000003,0.316,0.31,0.307,0.317,0.33299999999999996,0.33799999999999997,0.34600000000000003,0.287,0.37200000000000005,0.37200000000000005,0.377,0.39899999999999997,0.38299999999999995,0.38799999999999996,0.395,0.419
France,0.11599999999999999,0.141,0.159,0.147,0.183,0.198,0.2,0.204,0.203,0.24600000000000002,0.248,0.26,0.263,0.262,0.363,0.37,0.371
Croatia,,,,,0.209,0.21600000000000003,0.235,0.248,0.255,0.258,0.23800000000000002,0.258,0.252,0.185,0.18,0.205,0.19899999999999998
Italy,0.102,0.099,0.107,0.161,0.162,0.20199999999999999,0.203,0.20199999999999999,0.205,0.20600000000000002,0.305,0.303,0.302,0.301,0.302,0.353,0.358
Cyprus,0.109,0.091,0.16399999999999998,0.16399999999999998,0.161,0.161,0.125,0.125,0.107,0.107,0.14300000000000002,0.14300000000000002,0.125,0.179,0.179,0.182,0.179
Latvia,0.20199999999999999,0.172,0.212,0.192,0.2,0.21,0.22,0.19,0.21,0.23,0.25,0.18,0.17,0.16,0.17,0.31,0.3
Lithuania,,0.221,0.22899999999999998,0.221,0.23399999999999999,0.23399999999999999,0.187,0.191,0.191,0.237,0.24100000000000002,0.23600000000000002,0.24100000000000002,0.213,0.20600000000000002,0.22,0.24100000000000002
Luxembourg,0.203,0.237,0.207,0.237,0.25,0.25,0.2,0.2,0.237,0.233,0.233,0.28300000000000003,0.28300000000000003,0.28300000000000003,0.28300000000000003,0.217,0.28300000000000003
Hungary,0.096,0.08800000000000001,0.08800000000000001,0.10099999999999999,0.11199999999999999,0.109,0.11199999999999999,0.08800000000000001,0.08800000000000001,0.091,0.094,0.10099999999999999,0.10099999999999999,0.10099999999999999,0.10099999999999999,0.126,0.122
Malta,,0.094,0.094,0.094,0.094,0.087,0.087,0.087,0.087,0.087,0.14300000000000002,0.129,0.13,0.13,0.145,0.145,0.149
Netherlands,0.363,0.363,0.354,0.341,0.373,0.391,0.396,0.387,0.391,0.375,0.373,0.369,0.369,0.369,0.36,0.33799999999999997,0.35100000000000003
Austria,0.337,0.305,0.314,0.31,0.306,0.299,0.267,0.294,0.28600000000000003,0.29,0.321,0.303,0.305,0.307,0.32,0.365,0.389
Poland,,0.215,0.21100000000000002,0.18100000000000002,0.18600000000000003,0.18100000000000002,0.179,0.175,0.22,0.22,0.223,0.215,0.24600000000000002,0.255,0.259,0.261,0.27899999999999997
Portugal,0.205,0.19699999999999998,0.253,0.249,0.287,0.287,0.29600000000000004,0.304,0.29100000000000004,0.29100000000000004,0.313,0.313,0.34299999999999997,0.34299999999999997,0.35200000000000004,0.364,0.40399999999999997
Romania,0.10300000000000001,0.105,0.107,0.105,0.094,0.10400000000000001,0.098,0.098,0.096,0.099,0.11699999999999999,0.11900000000000001,0.121,0.12,0.191,0.196,0.198
Slovenia,0.11699999999999999,0.11199999999999999,0.11699999999999999,0.11699999999999999,0.094,0.1,0.115,0.11699999999999999,0.12300000000000001,0.26899999999999996,0.254,0.287,0.262,0.26899999999999996,0.26899999999999996,0.223,0.221
Slovakia,0.187,0.168,0.174,0.20800000000000002,0.187,0.187,0.18,0.16,0.16,0.187,0.187,0.2,0.2,0.205,0.213,0.207,0.207
Finland,0.37200000000000005,0.382,0.382,0.382,0.415,0.413,0.4,0.395,0.425,0.425,0.425,0.42,0.415,0.42,0.42,0.415,0.465
Sweden,0.45,0.479,0.489,0.474,0.473,0.46399999999999997,0.46399999999999997,0.456,0.45,0.436,0.444,0.436,0.436,0.45799999999999996,0.461,0.467,0.47600000000000003
Iceland,0.355,0.306,0.32799999999999996,0.33899999999999997,0.317,0.33299999999999996,0.429,0.413,0.387,0.397,0.41,0.413,0.46,0.47600000000000003,0.381,0.381,0.381
Liechtenstein,0.125,0.125,0.25,0.25,0.24,0.24,0.28,0.24,0.24,0.24,0.2,0.2,0.2,0.2,0.12,0.16,0.12
Norway,0.368,0.38,0.355,0.34700000000000003,0.349,0.361,0.385,0.391,0.396,0.396,0.385,0.387,0.396,0.396,0.408,0.408,0.408
Switzerland,,,,,,,,,,,,,,,,,
United Kingdom,0.172,0.179,0.191,0.191,0.196,0.196,0.19899999999999998,0.215,0.22,0.223,0.23,0.237,0.272,0.276,0.287,0.289,0.295
Montenegro,,,,,,,,,,,,,0.17300000000000001,0.235,0.235,0.235,0.29600000000000004
North Macedonia,,,,,0.3,0.311,0.325,0.342,0.331,0.317,0.341,0.359,0.341,0.35,0.363,0.38299999999999995,0.4
Albania,,,,,,,,,,,,,,,,0.293,0.303
Serbia,,,,,0.20800000000000002,0.22399999999999998,0.22399999999999998,0.22399999999999998,0.244,0.324,0.341,0.336,0.336,0.34,0.364,0.376,0.376
Turkey,,,0.044000000000000004,0.026000000000000002,0.091,0.091,0.09,0.08900000000000001,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.149,0.147,0.14,0.174,0.17300000000000001
Bosnia and Herzegovina,,,,,,,,,,,,,,,,0.23800000000000002,0.21100000000000002
Kosovo,,,,,,,,,,,,,,,,0.319,0.325
